category,abs_change
Spices,30.900000000000006
Cereals and products,18.69999999999999
Milk and products,13.699999999999989
Pulses and products,11.299999999999983
"Prepared meals, snacks, sweets etc.",10.299999999999983
Non-alcoholic beverages,5.5
Food and beverages,4.199999999999989
Sugar and Confectionery,2.799999999999997
Fruits,2.5
Egg,2.3999999999999773
Meat and fish,-5.099999999999994
Vegetables,-21.30000000000001
Oils and fats,-30.900000000000006
