Year,YOY_pct
2013,
2014,6.70997242549348
2015,4.912837061422933
2016,4.9603637427423655
2017,3.327388537536537
2018,3.967697191042909
2019,3.9729559917622894
2020,6.0798848990117085
2021,5.825337500498192
2022,6.624064980498923
2023,5.575672166453609
